prevtime,prevspeed,prevx,prevy,prevz,prevcp,currtime,currspeed,curx,cury,curz,curcp,move,turn,angle,dist,reward
13486507,8.65874,719.955,90.007,370.406,0.0,13486524,8.97682,719.949,90.007,370.581,0.0,0,2,-0.07229650544228683,0.5249675043643265,9.42949099892204
13487024,16.6844,719.161,90.0135,376.908,0.0,13487041,16.9797,719.079,90.0143,377.233,0.0,0,2,-0.5839436513205545,0.9636669776982814,17.35942332637773
13487541,24.895,715.808,90.011,387.13,0.0,13487557,25.0532,715.722,90.0111,387.364,0.0,0,2,-1.4846913019743457,0.5548495452060607,24.123358243231714
13488057,28.4349,712.099,90.0115,400.652,1.0,13488074,28.6561,711.998,90.0093,401.213,1.0,0,0,-0.7483598785579115,1.5924214319382486,29.500161553380337
13488574,33.987,711.347,90.0099,416.79,1.0,13488591,34.2057,711.382,90.0091,417.47,1.0,0,2,-0.38525532748888125,2.0052413878042614,35.82568606031538
13489091,39.6008,711.739,90.0189,435.887,1.0,13489107,39.7102,711.719,90.0186,436.283,1.0,0,2,-0.7288347210024284,1.1118935617373964,40.09325884073497
13489607,45.0327,710.398,90.0181,457.444,1.0,13489624,45.0306,710.359,90.0177,458.344,1.0,0,2,-1.11598431423635,2.300851988531626,46.215467674295276
13490124,48.7929,710.053,90.0191,481.496,1.0,13490141,49.0106,710.05,90.0192,482.474,1.0,0,2,-2.1358298576928068,1.460505060274972,48.33527520258217
13490641,47.5248,709.984,90.024,507.432,2.0,13490657,47.3725,709.982,90.0241,507.907,2.0,2,1,-1.9694765286339742,0.789838743503168,46.192862214869194
13491157,40.1831,707.34,90.0195,529.545,2.0,13491174,39.9228,707.13,90.0188,530.319,2.0,2,2,-1.7230967566903246,1.5713265599478632,39.77102980325754
13491657,35.8097,700.104,90.0192,546.6,2.0,13491674,36.03,699.723,90.0181,547.209,2.0,0,2,-1.3510924333613668,1.6844444577246946,36.36335202436333
13492174,38.7872,687.69,90.0175,561.935,2.0,13492191,39.0094,687.148,90.0166,562.492,2.0,0,2,-1.1413968609191025,1.964803852704648,39.832806991785546
13492691,44.3618,671.803,90.0282,576.547,2.0,13492707,44.4695,671.445,90.0279,576.809,2.0,0,2,-1.075319666013077,1.144107619766359,44.538287953753276
13493207,47.7579,651.989,90.0299,588.697,2.0,13493224,47.9622,651.123,90.0298,589.103,2.0,0,2,-1.0517448597782817,2.487614063962475,49.398069204184196
13493724,53.2675,627.128,90.0307,596.891,2.0,13493741,53.4725,626.079,90.0309,597.083,2.0,0,2,-1.1340256801286728,2.712534328886747,55.05100864875807
13494241,57.7759,598.31,90.0223,599.822,2.0,13494257,57.8456,597.734,90.0228,599.86,2.0,0,2,-2.8253615153879323,0.3026677805089335,55.322906265121
13494757,55.706,569.286,90.0185,600.076,3.0,13494774,55.9079,568.171,90.0153,600.02,3.0,0,2,-1.3466399477101865,2.6203454472870362,57.18160549957685
13495274,59.2777,539.614,90.0169,596.663,3.0,13495291,59.4065,538.451,90.015,596.43,3.0,0,2,-1.1561188428821803,2.9821225496143597,61.23250370673218
13495791,62.7111,509.451,90.0228,587.085,3.0,13495807,62.7772,508.88,90.0225,586.824,3.0,0,2,-0.7872489141251,1.7397231406361016,63.729674226511
13496307,65.2646,481.738,90.0256,569.745,3.0,13496324,65.2597,480.738,90.0248,568.907,3.0,0,1,-0.3132929581495203,3.866411034241537,68.81281807609201
13496824,67.8559,458.823,90.0259,544.202,3.0,13496841,67.989,458.081,90.0252,543.065,3.0,0,1,-0.27599405853614645,4.03458650581203,71.74759244727589
13497341,71.1762,444.793,90.0217,511.137,3.0,13497357,71.2451,444.619,90.0196,510.446,3.0,0,2,-1.0529172910131326,1.8492175501693566,72.04140025915622
13497858,74.6826,435.36,90.0197,475.177,3.0,13497874,74.8214,434.929,90.0179,473.745,3.0,0,2,-1.1874805611572699,3.724823836225937,77.35874327506866
13498374,78.2141,422.328,90.0263,437.646,3.0,13498391,78.3499,421.695,90.0258,436.214,3.0,0,0,-1.2511620989451266,3.8168521931329735,80.91559009418785
13498891,81.4972,400.158,90.0414,402.797,3.0,13498907,81.56,399.602,90.0402,402.2,3.0,0,0,-0.9541568321619929,2.1762608615570542,82.78210402939506
13499407,84.8163,367.994,90.0406,375.277,3.0,13499424,84.9377,366.569,90.0435,374.357,3.0,0,0,-0.9635993006980019,4.524245451935883,88.49834615123788
13499924,87.9898,326.552,90.0376,358.707,3.0,13499941,88.1089,324.819,90.0401,358.396,3.0,0,0,-1.3889085878332885,4.1433759936582994,90.86336740582502
13500441,91.1964,280.336,90.0257,360.002,4.0,13500457,91.265,279.441,90.0243,360.18,4.0,0,2,-0.22686390361635045,2.720590324657678,93.75872642104133
13500957,86.0082,234.977,90.0406,369.265,5.0,13500974,85.4783,233.282,90.0391,369.526,5.0,2,1,-0.0,0.0,85.4783
13501474,72.9053,194.344,87.7341,375.171,5.0,13501491,72.4739,192.921,87.5264,375.376,5.0,2,2,-0.0,0.0,72.4739
13501991,63.5629,160.349,79.7096,380.071,5.0,13502007,63.4194,159.753,79.5048,380.156,5.0,2,2,-0.0,0.0,63.4194
13502491,57.8489,132.941,67.4042,384.017,5.0,13502508,57.7628,132.44,67.1175,384.089,5.0,2,2,-0.0,0.0,57.7628
13503007,54.6399,109.471,50.9754,387.392,5.0,13503024,54.5584,108.632,50.2604,387.512,5.0,2,2,-0.0,0.0,54.5584
13503524,53.3868,89.463,30.8476,390.267,5.0,13503541,53.3702,88.7635,30.0133,390.367,5.0,2,2,-0.0,0.0,53.3702
13503757,53.3097,82.355,21.8837,391.287,5.0,13503757,53.3097,82.355,21.8837,391.287,5.0,2,2,0.0,0.0,48.3097
13503757,53.3097,82.355,21.8837,391.287,5.0,13503757,53.3097,82.355,21.8837,391.287,5.0,2,2,0.0,0.0,48.3097
13503757,53.3097,82.355,21.8837,391.287,5.0,13503757,53.3097,82.355,21.8837,391.287,5.0,2,2,0.0,0.0,48.3097
13503757,53.3097,82.355,21.8837,391.287,5.0,13503757,53.3097,82.355,21.8837,391.287,5.0,2,2,0.0,0.0,48.3097
13503757,53.3097,82.355,21.8837,391.287,5.0,13503757,53.3097,82.355,21.8837,391.287,5.0,2,2,0.0,0.0,48.3097
13503757,53.3097,82.355,21.8837,391.287,5.0,13503757,53.3097,82.355,21.8837,391.287,5.0,2,2,0.0,0.0,48.3097
13503757,53.3097,82.355,21.8837,391.287,5.0,13503757,53.3097,82.355,21.8837,391.287,5.0,2,2,0.0,0.0,48.3097
13503757,53.3097,82.355,21.8837,391.287,5.0,13503757,53.3097,82.355,21.8837,391.287,5.0,2,2,0.0,0.0,48.3097
13503757,53.3097,82.355,21.8837,391.287,5.0,13503757,53.3097,82.355,21.8837,391.287,5.0,2,2,0.0,0.0,48.3097
13503757,53.3097,82.355,21.8837,391.287,5.0,13503757,53.3097,82.355,21.8837,391.287,5.0,2,2,0.0,0.0,48.3097
13503757,53.3097,82.355,21.8837,391.287,5.0,13503757,53.3097,82.355,21.8837,391.287,5.0,2,2,0.0,0.0,48.3097
13503757,53.3097,82.355,21.8837,391.287,5.0,13503757,53.3097,82.355,21.8837,391.287,5.0,2,2,0.0,0.0,48.3097
13503757,53.3097,82.355,21.8837,391.287,5.0,13503757,53.3097,82.355,21.8837,391.287,5.0,2,2,0.0,0.0,48.3097
